date,image,đường trước nhà,số tầng,số phòng ngủ,số nhà vs,chỗ để xe,diện tích,kích thước,hướng nhà,giá,địa chỉ,quận,huyện
08/12/2020,/files/properties/2020/11/4/thumbnails/07267963-0216-ban-can-ho-chung-cu-quan-long-bien-chinh-chu.jpg,40.0,25,3,3,1,86, ---, _,2200.0,"Đường Sài Đồng, Phường Việt Hưng, Quận Long Biên, Hà Nội",Long Biên,Phường Việt Hưng
08/12/2020,/files/properties/2020/10/28/thumbnails/07218632-3742-ban-can-ho-chung-cu-ha-noi.jpg,NULL,15,2,3,NULL,78, ---, _,3600.0,"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Đống Đa,Phường Láng Hạ
08/12/2020,/files/properties/2020/10/28/thumbnails/07218683-4136-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,20,4,4,NULL,193, ---, _,8000.0,"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Đống Đa,Phường Láng Hạ
08/12/2020,/files/properties/2020/12/8/thumbnails/07505488-2600-ban-can-ho-chung-cu-quan-ba-dinh-gia-re.jpg,NULL,10,2,2,NULL,122, ---, _,3782.0,"Phố Láng Hạ, Phường Thành Công, Quận Ba Đình, Hà Nội",Ba Đình,Phường Thành Công
08/12/2020,/files/properties/2020/10/2/thumbnails/07043234-1514-ban-can-ho-chung-cu-quan-ba-dinh-gia-re.jpg,NULL,10,3,3,NULL,128, ---, _,6016.0,"Phố Nguyễn Công Hoan, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",Ba Đình,Phường Ngọc Khánh
08/12/2020,/files/properties/2020/10/16/thumbnails/07137992-5728-ban-can-ho-chung-cu-quan-dong-da.jpg,NULL,10,3,2,NULL,133, ---, _,3857.0,"Đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Đống Đa,Phường Láng Hạ
08/12/2020,/files/properties/2020/10/16/thumbnails/07138062-0142-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,10,3,3,NULL,145, ---, _,5510.0,"Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",Đống Đa,Phường Láng Hạ
08/12/2020,/files/properties/2020/10/17/thumbnails/07147279-2415-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,10,2,2,NULL,80, ---, _,3600.0,"Phố Nam Cao, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Ba Đình,Phường Giảng Võ
08/12/2020,/files/properties/2020/10/17/thumbnails/07149320-4922-ban-can-ho-chung-cu-quan-dong-da-gia-re.jpg,NULL,10,2,1,NULL,93, ---, _,5000.0,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Đống Đa,Phường Ô Chợ Dừa
08/12/2020,/files/properties/2020/10/21/thumbnails/07172081-5131-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,15,2,3,NULL,70, ---, _,3900.0,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Đống Đa,Phường Ô Chợ Dừa
08/12/2020,/files/properties/2020/2/28/thumbnails/05845234-2047-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,15,2,3,1,105, ---, _,5000.0,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Đống Đa,Phường Ô Chợ Dừa
08/12/2020,/files/properties/default.jpg,NULL,10,2,3,NULL,80, ---, _,3600.0,"Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội",Ba Đình,Phường Giảng Võ
